stand_type,easting,northing,long,lat,stand_numbers,geom,stand_location
Sheffield Stand,315839.483,234987.223,-6.261101227759064,53.35265009002243,2,"53.35265009002243, -6.261101227759064","MAP Travel Ltd, 36, O'Connell Street Upper, Rotunda A ED, Dublin, County Dublin, Leinster, D01 T2X2, Éire / Ireland"
Sheffield Stand,316103.055,235155.605,-6.257083284979433,53.35410456311804,2,"53.35410456311804, -6.257083284979433","Klass Cut, Parnell Street, Rotunda A ED, Dublin, County Dublin, Leinster, D01 KT62, Éire / Ireland"
Sheffield Stand,315850.231,233485.98,-6.261488718266483,53.339165301197355,5,"53.339165301197355, -6.261488718266483","Glovers Alley, Royal Exchange B ED, Dublin, Dublin 2, Leinster, D02 RD40, Éire / Ireland"
Sheffield Stand,316261.885,234363.663,-6.254989787506379,53.34695742431006,4,"53.34695742431006, -6.254989787506379","The Big Fellow, Poolbeg Street, Mansion House A ED, Dublin, County Dublin, Leinster, D02 TK71, Éire / Ireland"
Sheffield Stand,317993.936,234573.204,-6.228917415517403,53.348456141465064,6,"53.348456141465064, -6.228917415517403","Event Platform, North Wall Avenue, North Docklands, North Wall, North Dock B ED, Dublin, County Dublin, Leinster, D01 X2P2, Éire / Ireland"
Sheffield Stand,315988.079,235484.708,-6.258688612699584,53.357085381673365,5,"53.357085381673365, -6.258688612699584","4, Mountjoy Square North, Mountjoy Square, Mountjoy B ED, Dublin, County Dublin, Leinster, D01 K286, Éire / Ireland"
Sheffield Stand,315707.538,233917.86,-6.26347222983447,53.34307514795305,1,"53.34307514795305, -6.26347222983447","Fallone & Byrne, Exchequer Street, Royal Exchange A ED, Dublin, County Dublin, Leinster, D02 VH59, Éire / Ireland"
Sheffield Stand,315470.295,233684.928,-6.267117329275489,53.34103499149073,6,"53.34103499149073, -6.267117329275489","Stephen Street Upper, Royal Exchange A ED, Dublin, Dublin 8, Leinster, D08 A5RV, Éire / Ireland"
Sheffield Stand,315639.072,233951.41,-6.264487439309472,53.34339140978517,4,"53.34339140978517, -6.264487439309472","Wicklow House, South Great George's Street, Royal Exchange A ED, Dublin, County Dublin, Leinster, D02 TX84, Éire / Ireland"
Sheffield Stand,315727.351,233918.966,-6.263174497987224,53.343080751773904,2,"53.343080751773904, -6.263174497987224","Exchequer Chambers, 21-25, Exchequer Street, Royal Exchange A ED, Dublin, County Dublin, Leinster, D02 VH59, Éire / Ireland"
Sheffield Stand,315523.457,234362.337,-6.266072660211446,53.34710712497461,2,"53.34710712497461, -6.266072660211446","T.P. Smith’s, 9-10, Jervis Street, North City ED, Dublin, County Dublin, Leinster, D01 XV66, Éire / Ireland"
Sheffield Stand,315133.303,233702.346,-6.272167925432712,53.34126478175737,2,"53.34126478175737, -6.272167925432712","Block D, Patrick Street, Wood Quay A ED, Dublin, County Dublin, Leinster, D08 V5Y4, Éire / Ireland"
Sheffield Stand,314906.864,234219.119,-6.275378551721213,53.34595505302733,4,"53.34595505302733, -6.275378551721213","Áras Uí Dhálaigh, Inns Quay, Inns Quay C ED, Dublin, County Dublin, Leinster, D07 HK38, Éire / Ireland"
Sheffield Stand,316704.154,233240.786,-6.248765650355662,53.33677581048051,2,"53.33677581048051, -6.248765650355662","Thomas Rody Maher, 43-44, Baggot Street Lower, South Dock ED, Dublin, County Dublin, Leinster, D02 XW14, Éire / Ireland"
Sheffield Stand,316770.555,233142.817,-6.247805423456592,53.33588133780714,4,"53.33588133780714, -6.247805423456592","101, Baggot Street Lower, South Dock ED, Dublin, County Dublin, Leinster, D02 XW14, Éire / Ireland"
Sheffield Stand,316270.688,233766.034,-6.255076922375681,53.34158829190179,2,"53.34158829190179, -6.255076922375681","2, Nassau Street, Mansion House A ED, Dublin, County Dublin, Leinster, D02 CY95, Éire / Ireland"
Sheffield Stand,316612.22,233971.872,-6.249876132727283,53.34336179661686,3,"53.34336179661686, -6.249876132727283","Trinity College Dublin, College Green, Mansion House A ED, Dublin, County Dublin, Leinster, D02 VR66, Éire / Ireland"
Sheffield Stand,316930.946,233981.034,-6.245089734709762,53.34337380387573,2,"53.34337380387573, -6.245089734709762","77, Pearse Street, Mansion House A ED, Dublin, County Dublin, Leinster, D02 DE68, Éire / Ireland"
Sheffield Stand,315536.464,233422.266,-6.266220123995724,53.33866162537248,5,"53.33866162537248, -6.266220123995724","Whitefriars, Aungier Street, Royal Exchange A ED, Dublin, County Dublin, Leinster, D02 K527, Éire / Ireland"
Sheffield Stand,315290.05,234694.162,-6.269454932753881,53.350138075472145,4,"53.350138075472145, -6.269454932753881","ICOT, Capel Street, Rotunda B ED, Dublin, County Dublin, Leinster, D01 N6E8, Éire / Ireland"
Sheffield Stand,315319.949,234905.516,-6.268929235368804,53.352029708893504,4,"53.352029708893504, -6.268929235368804","Mount Carmel Secondary School, Dominick Street Lower, Rotunda B ED, Dublin, County Dublin, Leinster, D01 H578, Éire / Ireland"
Sheffield Stand,316095.487,235165.492,-6.257193260850793,53.354195016140096,4,"53.354195016140096, -6.257193260850793","Spar, Gardiner Street Middle, Mountjoy Square, Rotunda A ED, Dublin, County Dublin, Leinster, D01 PK61, Éire / Ireland"
Sheffield Stand,315597.866,234778.739,-6.264803996405934,53.35083053566686,4,"53.35083053566686, -6.264803996405934","Burger King, Parnell Street, North City ED, Dublin, County Dublin, Leinster, D01 H578, Éire / Ireland"
Sheffield Stand,315394.526,234527.509,-6.2679475253782915,53.34861862642293,2,"53.34861862642293, -6.2679475253782915","Mr Middleton Garden Shop, Mary Street, North City ED, Dublin, County Dublin, Leinster, D01 PX00, Éire / Ireland"
Sheffield Stand,315238.991,235676.104,-6.2698640246230495,53.35896789210314,2,"53.35896789210314, -6.2698640246230495","17, Berkeley Road, Inns Quay B ED, Dublin, County Dublin, Leinster, D07 K188, Éire / Ireland"
Stainless Steel Curved,317009.128,234609.842,-6.24368430305975,53.349003713693506,6,"53.349003713693506, -6.24368430305975","Café Urbano, Mayor Square, International Financial Services Centre, North Dock C ED, Dublin, County Dublin, Leinster, D01 T8Y1, Éire / Ireland"
Stainless Steel Curved,316607.33,234666.827,-6.2496937874667005,53.3496041209422,4,"53.3496041209422, -6.2496937874667005","D010036a, Mayor Street Lower, International Financial Services Centre, North Dock C ED, Dublin, County Dublin, Leinster, D01 FP60, Éire / Ireland"
Railing,315893.014,233993.252,-6.260661280111158,53.343711677936255,4,"53.343711677936255, -6.260661280111158","3-5, Suffolk Street, Royal Exchange A ED, Dublin, County Dublin, Leinster, D02 KX03, Éire / Ireland"
Railing,315869.052,233586.565,-6.2611695394232,53.340064524125886,4,"53.340064524125886, -6.2611695394232","54, King Street South, Royal Exchange B ED, Dublin, County Dublin, Leinster, D02 NY74, Éire / Ireland"
Railing,316644.693,234025.179,-6.24936920131906,53.34383338484527,4,"53.34383338484527, -6.24936920131906","Goldsmith Hall (Trinity College Dublin), Pearse Street, Mansion House A ED, Dublin, County Dublin, Leinster, D02 FP30, Éire / Ireland"
Railing,316250.334,234170.913,-6.25523385400387,53.345228907131066,4,"53.345228907131066, -6.25523385400387","Printing House Square, Pearse Street, Mansion House A ED, Dublin, County Dublin, Leinster, D02 WN62, Éire / Ireland"
Sheffield Stand,315402.235,234670.053,-6.267779903762615,53.34989711628035,3,"53.34989711628035, -6.267779903762615","Cineworld Cinema Dublin, Parnell Street, Rotunda B ED, Dublin, County Dublin, Leinster, D01 K5N8, Éire / Ireland"
Sheffield Stand,315326.232,234893.278,-6.268839383448678,53.351918432368834,4,"53.351918432368834, -6.268839383448678","TU Dublin Bolton Street, King's Inn's Street, Rotunda B ED, Dublin, County Dublin, Leinster, D01 Y9T3, Éire / Ireland"
